entity_id,P,A,Comp,GSI,OSR,NDVI,NDBI,FAR,SC,AH,Po,UH,UA,Longitude,Latitude,hdbscan_labels
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:989,0.488506727,0.671184176,0.862221965,0.046849619,0.205688116,0.379546439,0.684907583,-1.161982824,0.014557973,-0.920329929,0.978428275,-0.78830934,0.64015943,118.9159287,32.04172515,8
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:990,0.314490139,0.56312531,0.873398103,0.378498918,0.067134361,0.286547154,0.812411128,0.675628062,0.022444392,0.046366321,0.860797449,0.085811881,0.527904676,118.7647206,32.04299159,20
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:991,0.295838949,0.560142949,0.941250365,0.471234882,0.052601466,0.346959126,0.703387514,0.55600508,0.019035429,-0.37197058,0.698141886,-0.560194245,0.573529123,118.7475318,32.04272976,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:992,0.702696867,0.685809229,0.30780697,0.069188551,0.179831684,0.831847949,0.931142708,-1.061744061,0.017897836,-0.676792171,0.966408456,-0.687093884,0.598962638,118.8756711,32.04958499,10
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:993,0.414043972,0.598148109,0.689552629,0.042418811,0.212276752,0.820612945,0.576385585,-1.177152333,0.02413645,-0.962325703,0.979614544,-0.75504839,0.535729675,118.8295318,32.04276421,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:994,0.538600568,0.670568911,0.655145707,0.132626397,0.136679284,0.778382929,0.61411454,-0.716975181,0.019941556,-0.282376823,0.949117367,-0.313923422,0.568673265,118.837945,32.04208557,31
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:995,0.269158459,0.537987885,0.899264511,0.251675585,0.094196417,0.540337227,0.735796909,-0.190835232,0.013744257,-0.237946602,0.85095358,-0.380869125,0.634793046,118.8974143,32.04305427,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:996,0.344960051,0.584701753,0.891369889,0.403339028,0.062918982,0.459482,0.591758165,0.147815695,0.021351321,-0.491646932,0.880964201,-0.350792685,0.543318665,118.7959421,32.04335702,5
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:997,0.271973624,0.543345567,0.927197177,0.206241694,0.107399574,0.507483601,0.588027342,-0.094720397,0.025701137,0.227948423,0.905755218,0.45938543,0.541337054,118.7982461,32.04335939,25
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:998,0.433509625,0.645363423,0.929484749,0.20319791,0.108385594,0.522155591,0.682059691,0.031985953,0.014077677,0.462633039,0.864101363,0.008948744,0.602517626,118.9007699,32.04370967,38
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:999,0.33750922,0.584662869,0.927484662,0.30923162,0.08053849,0.493239869,0.647780868,1.428234388,0.019165371,1.232901944,0.849904732,1.55009486,0.576518725,118.7497614,32.04327853,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1000,0.310777258,0.561973101,0.882288645,0.475260155,0.052037395,0.322750711,0.613396798,3.823582655,0.014800463,1.894277954,0.827502105,3.049761684,0.637219587,118.7649061,32.0441309,3
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1001,0.352375174,0.593755589,0.925354941,0.180849096,0.116112661,0.562163089,0.599968359,-0.133834481,0.016781042,0.42030137,0.922298167,0.362074716,0.592413062,118.7622443,32.04362271,25
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1002,0.250912848,0.531791921,0.940876571,0.172395043,0.119287536,0.401755112,0.657621451,0.258082919,0.018040446,1.274865361,0.913291728,1.232816795,0.544768398,118.7836294,32.0441719,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1003,0.401072395,0.61547747,0.857354765,0.298212888,0.08294466,0.496836589,0.639063792,1.271382532,0.005770187,1.165302975,0.777322358,0.054542499,0.794268597,118.7917541,32.04381087,7
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1004,0.406096094,0.629303504,0.93904608,0.306741015,0.08107478,0.554789398,0.626745953,2.492709198,0.013266141,2.405670156,0.828766493,2.337084252,0.669916188,118.925844,32.04388415,1
